779, "🥙", "stuffed flatbread"
780, "🧆", "falafel"
781, "🥚", "egg"
782, "🍳", "cooking"
783, "🥘", "shallow pan of food"
784, "🍲", "pot of food"
785, "🫕", "fondue"
786, "🥣", "bowl with spoon"
787, "🥗", "green salad"
788, "🍿", "popcorn"
789, "🧈", "butter"
790, "🧂", "salt"
791, "🥫", "canned food"
792, "🍱", "bento box"
793, "🍘", "rice cracker"
794, "🍙", "rice ball"
795, "🍚", "cooked rice"
796, "🍛", "curry rice"
797, "🍜", "steaming bowl"
798, "🍝", "spaghetti"
799, "🍠", "roasted sweet potato"
800, "🍢", "oden"
801, "🍣", "sushi"
802, "🍤", "fried shrimp"
803, "🍥", "fish cake with swirl"
804, "🥮", "moon cake"
805, "🍡", "dango"
806, "🥟", "dumpling"
807, "🥠", "fortune cookie"
808, "🥡", "takeout box"
809, "🍦", "soft ice cream"
810, "🍧", "shaved ice"
811, "🍨", "ice cream"
812, "🍩", "doughnut"
813, "🍪", "cookie"
814, "🎂", "birthday cake"
815, "🍰", "shortcake"
816, "🧁", "cupcake"
817, "🥧", "pie"
818, "🍫", "chocolate bar"
819, "🍬", "candy"
820, "🍭", "lollipop"
821, "🍮", "custard"
822, "🍯", "honey pot"
823, "🍼", "baby bottle"
824, "🥛", "glass of milk"
825, "☕", "hot beverage"
826, "🫖", "teapot"
827, "🍵", "teacup without handle"
828, "🍶", "sake"
829, "🍾", "bottle with popping cork"
830, "🍷", "wine glass"
831, "🍸", "cocktail glass"
832, "🍹", "tropical drink"
833, "🍺", "beer mug"
834, "🍻", "clinking beer mugs"
835, "🥂", "clinking glasses"
836, "🥃", "tumbler glass"
837, "🫗", "pouring liquid"
838, "🥤", "cup with straw"
839, "🧋", "bubble tea"
840, "🧃", "beverage box"
841, "🧉", "mate"
842, "🧊", "ice"
843, "🥢", "chopsticks"
844, "🍽", "fork and knife with plate"
845, "🍴", "fork and knife"
846, "🥄", "spoon"
847, "🔪", "kitchen knife"
848, "🫙", "jar"
849, "🏺", "amphora"
850, "🌍", "globe showing Europe-Africa"
851, "🌎", "globe showing Americas"
852, "🌏", "globe showing Asia-Australia"
853, "🌐", "globe with meridians"
854, "🗺", "world map"
855, "🗾", "map of Japan"
856, "🧭", "compass"
857, "🏔", "snow-capped mountain"
858, "⛰", "mountain"
